tick,hp,checkpoint,no_progress,fall_like,deaths_est,use_item_cd,side_pref
0,5.000,0,1,1,0,18,0.2143
0,5.000,0,1,1,0,16,0.3218
0,5.000,0,1,1,0,13,0.0649
0,5.000,0,1,1,0,17,-0.1907
30,5.000,0,31,1,0,18,0.2143
30,5.000,0,31,1,0,17,-0.1907
30,5.000,0,31,1,0,13,0.0649
30,5.000,0,31,1,0,16,0.3218
60,5.000,0,61,1,0,13,0.0649
60,5.000,0,61,1,0,18,0.2143
60,5.000,0,61,1,0,17,-0.1907
60,5.000,0,61,1,0,16,0.3218
90,5.000,0,91,1,0,18,0.2143
90,5.000,0,91,1,0,17,-0.1907
90,5.000,0,91,1,0,16,0.3218
90,5.000,0,91,2,0,13,0.0649
120,5.000,0,121,2,0,17,-0.1907
120,5.000,0,121,2,0,13,0.0649
120,5.000,0,121,1,0,18,0.2143
120,5.000,1,28,1,0,16,0.3218
150,5.000,1,58,1,0,16,0.3218
150,5.000,0,151,1,0,8,0.0003
150,5.000,0,151,2,0,8,0.0001
150,5.000,0,151,2,0,8,-0.0002
180,5.000,0,181,1,0,8,0.0000
180,5.000,0,181,2,0,8,-0.0000
180,5.000,1,88,1,0,16,0.3218
180,5.000,0,181,2,0,8,0.0000
210,5.000,1,118,1,0,16,0.3218
210,5.000,0,211,1,0,8,0.0000
210,5.000,0,211,2,0,8,0.0000
210,5.000,0,211,2,0,8,-0.0000
240,5.000,0,241,2,0,8,-0.0000
240,5.000,0,241,2,0,8,0.0000
240,5.000,0,241,1,0,8,0.0000
240,5.000,1,148,1,0,8,0.0008
270,5.000,0,271,1,0,8,0.0000
270,5.000,0,271,2,0,8,0.0000
270,5.000,0,271,2,0,8,-0.0000
270,5.000,1,178,1,0,8,0.0000
300,5.000,0,301,1,0,8,0.0000
300,5.000,1,208,1,0,8,0.0000
300,5.000,0,301,2,0,8,0.0000
300,5.000,0,301,2,0,8,-0.0000
330,5.000,0,331,1,0,8,0.0000
330,5.000,1,238,1,0,8,0.0000
330,5.000,0,331,2,0,8,-0.0000
330,5.000,0,331,2,0,8,0.0000
360,5.000,1,268,1,0,8,0.0000
360,5.000,0,361,2,0,8,0.0000
360,5.000,0,361,1,0,8,0.0000
360,5.000,0,361,2,0,8,-0.0000
390,5.000,0,391,2,0,8,0.0000
390,5.000,1,298,1,0,8,0.0000
390,5.000,0,391,2,0,8,-0.0000
390,5.000,0,391,1,0,8,0.0000
420,5.000,0,421,2,0,8,0.0000
420,5.000,1,328,1,0,8,0.0000
420,5.000,0,421,1,0,8,0.0000
420,5.000,0,421,2,0,8,-0.0000
450,5.000,1,358,1,0,8,0.0000
